id,t,d+1,d,L,eps,U
11,13,1.0,1.0,1.0,-0.47109292517498585,48.94527007481567
11,14,1.0,1.0,1.0,-0.5569765474036188,47.77607098199935
11,15,1.0,1.0,1.0,1.2508019509909218,48.5005340098062
11,16,2.0,1.0,0.0,-1.6782507762209142,45.1664165882276
11,17,2.0,2.0,1.0,-0.46572799594142916,44.617373121698485
11,18,2.0,2.0,1.0,0.7759024424722907,44.77568808952452
11,19,2.0,2.0,1.0,-0.7572267099345659,42.15924346652998
11,20,2.0,2.0,1.0,-0.7331013258615702,41.10005338001529
11,21,2.0,2.0,1.0,-0.34145664676940857,40.408382588519764
11,22,3.0,2.0,0.0,-1.4436574130379136,38.66652376470149
11,23,3.0,3.0,1.0,-0.9600148232649615,37.62319347084884
11,24,3.0,3.0,1.0,-0.5413623965947232,36.9585304269314
11,25,3.0,3.0,1.0,1.0814220153205851,37.497999368259016
11,26,3.0,3.0,1.0,0.3182722104128174,35.65153409276356
11,27,3.0,3.0,1.0,-0.16794560368188788,34.082000808081176
11,28,3.0,3.0,1.0,-0.27287728850252235,32.893753652672856
11,29,3.0,3.0,1.0,1.7709969931124256,33.85431246370011
11,30,3.0,3.0,1.0,0.07173413097477556,1000.0717341309747
12,1,0.0,0.0,1.0,-0.10010130598585364,62.31604734105699
12,2,0.0,0.0,1.0,-0.7193451386612331,60.61348803779393
12,3,1.0,0.0,0.0,-1.1557480683952015,59.249517705867476
12,4,2.0,1.0,0.0,-2.9215855547817937,58.1662022352798
12,5,2.0,2.0,1.0,0.7539732360458796,58.83686000073799
12,6,3.0,2.0,0.0,-1.0019017171234377,55.99957129410443
12,7,3.0,3.0,1.0,0.011507612165404977,55.92776343568215
12,8,3.0,3.0,1.0,-0.41365053293200804,54.419289819997054
12,9,3.0,3.0,1.0,0.7231466335688267,54.4727715159102
12,10,3.0,3.0,1.0,-0.7077633545648726,51.958546057188826
12,11,3.0,3.0,1.0,-0.9562167016820556,50.626777239483964
12,12,3.0,3.0,1.0,-0.687491227885922,49.81218724269241
12,13,3.0,3.0,1.0,-0.8375828815969821,48.578780118393674
12,14,3.0,3.0,1.0,-0.6434586289383945,47.68958890046457
12,15,3.0,3.0,1.0,1.6331634429608446,48.882895501776126
12,16,3.0,3.0,1.0,-0.4614490177427033,45.7049675704849
12,17,3.0,3.0,1.0,0.660102629998744,45.74320374763866
12,18,3.0,3.0,1.0,-0.947916175158207,43.05186947189402
12,19,4.0,3.0,0.0,-1.2137913249536338,41.91647017646454
12,20,5.0,4.0,0.0,-1.0102216175960341,40.83315470587686
12,21,6.0,5.0,0.0,-1.483148424499421,39.74983923528917
12,22,7.0,6.0,0.0,-1.5614297400998582,38.66652376470149
12,23,8.0,7.0,0.0,-1.2082767954647349,37.5832082941138
12,24,8.0,8.0,1.0,-0.0593184445440889,37.44057437898203
12,25,8.0,8.0,1.0,0.1109407395484537,36.527518092486886
12,26,8.0,8.0,1.0,1.6800127828236329,37.01327466517438
12,27,8.0,8.0,1.0,0.04667855241715359,34.29662496418022
12,28,9.0,8.0,0.0,-3.0500142718976297,32.16663094117538
12,29,9.0,9.0,1.0,0.15944986109962117,32.24276533168731
12,30,10.0,9.0,0.0,-0.09583297596319601,1000.0
13,1,0.0,0.0,1.0,0.4465566035081506,62.862705250550995
13,2,0.0,0.0,1.0,-0.6970031473633197,60.63583002909184
13,3,1.0,0.0,0.0,-1.4579826134524236,59.249517705867476
13,4,1.0,1.0,1.0,-0.4271677333707745,58.739034501909025
13,5,1.0,1.0,1.0,0.07258516267480034,58.15547192736691
13,6,1.0,1.0,1.0,0.33160536718546085,57.33117666128989
13,7,1.0,1.0,1.0,1.23603500968591,57.152290833202656
13,8,1.0,1.0,1.0,-0.21850728227489502,54.61443307065417
13,9,1.0,1.0,1.0,1.4225615885653493,55.17218647090673
13,10,1.0,1.0,1.0,0.30469356191181857,52.97100297366552
13,11,1.0,1.0,1.0,0.4309604012107189,52.013954342376735
13,12,1.0,1.0,1.0,-0.7238365180305142,49.775841952547815
13,13,1.0,1.0,1.0,0.4418718051994809,49.858234805190136
13,14,1.0,1.0,1.0,-0.6080762357046416,47.724971293698324
13,15,1.0,1.0,1.0,-0.08198786723063853,47.167744191584646
13,16,1.0,1.0,1.0,-0.6533212332361941,45.51309535499141
13,17,1.0,1.0,1.0,-0.7679517234910346,44.315149394148875
13,18,1.0,1.0,1.0,-0.9272837247223673,43.07250192232986
13,19,1.0,1.0,1.0,0.4326001275012957,43.34907030396584
13,20,1.0,1.0,1.0,0.5947625752179402,42.4279172810948
13,21,1.0,1.0,1.0,0.0033741134606748847,40.753213348749846
13,22,1.0,1.0,1.0,0.8972062841718592,40.563730048873346
13,23,2.0,1.0,0.0,-1.2459487412697678,37.5832082941138
13,24,2.0,2.0,1.0,1.442202021622765,38.94209484514888
13,25,2.0,2.0,1.0,0.2397729144832576,36.656350267421686
